objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class
1237663479799939642,25.50133,0.9999106,21.52278,0.1255836,19.8869,0.03953043,18.98502,0.027416,18.56184,0.06206043,4735722841580001280,0.4863874,8.364628E-05,0.498813,0.021635,GALAXY
1237663542614360234,25.3302,2.168612,20.83142,0.1204416,19.1728,0.04186659,18.19196,0.025521,17.75783,0.0588996,4734459502434473984,0.4913372,0.0001138757,0.50984,0.017349,GALAXY
1237663782593953937,22.59352,0.8235501,22.57936,0.4232213,20.52364,0.09151047,19.25804,0.04395797,18.69027,0.08715479,4205291764788254720,0.7428916,0.0001977102,0.64313,0.029929,GALAXY
1237663782593953937,22.59352,0.8235501,22.57936,0.4232213,20.52364,0.09151047,19.25804,0.04395797,18.69027,0.08715479,4206472915238279168,0.7427013,0.0002466482,0.64313,0.029929,GALAXY
1237663782593953937,22.59352,0.8235501,22.57936,0.4232213,20.52364,0.09151047,19.25804,0.04395797,18.69027,0.08715479,4758149580318857216,0.7425902,0.0002727043,0.64313,0.029929,GALAXY
1237663917340820176,25.17211,1.297036,21.68982,0.09509949,19.96179,0.03380126,19.12477,0.02421879,18.6205,0.06547818,4167101608340248576,0.4688511,0.0001335705,0.475454,0.020798,GALAXY
1237663917340820176,25.17211,1.297036,21.68982,0.09509949,19.96179,0.03380126,19.12477,0.02421879,18.6205,0.06547818,5099345632080189440,0.4683346,0.0001207772,0.475454,0.020798,GALAXY
1237664670049698205,25.10139,1.244552,22.33485,0.1406922,20.49208,0.04463122,19.58156,0.03343603,19.11397,0.08057754,5207512563521443840,0.5491182,0.0001519638,0.507143,0.030021,GALAXY
1237664836462838396,22.43021,0.45954,21.3924,0.07412218,19.71149,0.02606881,18.94372,0.0182547,18.46179,0.0437655,5047602065523890176,0.4318295,0.0001207547,0.45061,0.022566,GALAXY
1237664870825722306,22.09028,0.4588014,21.36768,0.1078712,20.15047,0.05150992,19.14025,0.03022939,18.55649,0.07487389,6529248971915024384,0.5572531,0.0001369493,0.591703,0.048872,GALAXY
1237665127465681547,22.40932,0.5261354,22.9936,0.3411951,20.24453,0.05091728,19.26716,0.03214289,18.6541,0.06772916,5200573270206994432,0.4790737,0.0001415311,0.437892,0.028948,GALAXY
1237665127473414487,22.9893,0.7998186,22.39808,0.1794591,20.69148,0.06263417,19.57326,0.03599655,19.10276,0.08440395,4474409607054514176,0.6132697,0.0001260538,0.589951,0.036919,GALAXY
1237665128553972289,25.00123,1.579586,22.35135,0.1634433,20.52431,0.05384019,19.25456,0.02770987,18.83903,0.08256234,4352872345582721024,0.6172816,0.0001919358,0.625965,0.031225,GALAXY
1237665128554037808,26.14466,0.6946676,22.01089,0.1122448,20.42351,0.04730168,19.32861,0.02824626,18.90123,0.08329134,4348234599715067904,0.5668747,0.0001315209,0.569726,0.031029,GALAXY
1237665227850317869,23.74655,0.7678244,22.7057,0.1631193,20.88072,0.05112141,19.79289,0.03233035,21.02739,0.2668936,7313850024773048320,0,0,0.950407,0.111682,GALAXY
1237665328777003578,23.30589,1.251269,22.15917,0.2291887,20.24019,0.0597482,19.41257,0.04571015,19.29139,0.1627056,7288157736566806528,0.4748313,0.0003102572,0.459508,0.041034,GALAXY
1237665329315709419,25.83822,1.036695,22.88438,0.3324483,20.78938,0.07409889,19.69965,0.044071,19.27029,0.1158792,7292676179634706432,0.6190743,0.0001648764,0.574263,0.034473,GALAXY
1237666210313470124,21.81895,0.7879016,20.84285,0.1576069,19.36159,0.05267565,18.53934,0.0349126,18.29776,0.09922037,5629570273718327296,0.4487278,0.0001417073,0.460905,0.054752,GALAXY
1237666210313470258,22.39118,1.477677,21.64738,0.3077523,19.45724,0.06568402,18.50123,0.04106888,18.74586,0.246797,5645457117261617152,0.5192994,0.0002496337,0.400714,0.102608,GALAXY
1237666214069863267,25.143,0.9858039,22.72592,0.2194107,20.74737,0.05366657,19.71321,0.03093707,19.15141,0.064062,5784884264530368512,0,0,0.554013,0.031294,GALAXY
1237666214069928416,25.63416,0.9571272,21.64181,0.1186935,19.96299,0.03829092,19.1855,0.02724411,18.83745,0.06831458,5251447133417265152,0.4535909,0.0002027512,0.451572,0.023151,GALAXY
1237666214069928416,25.63416,0.9571272,21.64181,0.1186935,19.96299,0.03829092,19.1855,0.02724411,18.83745,0.06831458,5251448232828229632,0.4541325,0.0002268399,0.451572,0.023151,GALAXY
1237666214074188522,22.25892,0.5388235,21.7235,0.1454701,20.27739,0.05753472,19.3553,0.03745745,18.80666,0.07811867,6409837060010825728,0.58525,0.000164163,0.545443,0.035584,GALAXY
1237666214074253440,23.47822,1.053957,23.15212,0.3856889,20.94442,0.07835589,19.78902,0.04214332,19.34035,0.09566998,6409838159522453504,0.6205696,0.0001863913,0.618769,0.035316,GALAXY
1237666214074254075,24.04007,1.114744,22.23833,0.1458059,20.63116,0.0502565,19.642,0.03158468,19.34171,0.07935803,5771622781470136320,0.5420302,0.0001946785,0.538456,0.040204,GALAXY
1237666214608306687,25.20727,1.317573,23.07388,0.444548,20.56873,0.06964025,19.27898,0.03310677,18.88168,0.08520736,5786165471058614272,0.5916223,0.0001361307,0.614951,0.029385,GALAXY
1237666214608634445,23.28438,0.9345317,22.28151,0.1939529,20.61342,0.06170035,19.67564,0.03900581,19.20547,0.09947469,5779326508633184256,0.5868064,0.0001921261,0.521077,0.033139,GALAXY
1237666274202026726,23.3966,1.495759,21.24348,0.09476801,19.91321,0.04215143,18.88533,0.02652551,18.45843,0.06520473,5759214242357336064,0.5918794,0.0001603055,0.557814,0.047086,GALAXY
1237666275272884441,24.08104,1.597365,21.76525,0.1092914,19.92561,0.03321662,18.95947,0.02175849,18.43653,0.05883627,7079927823583172608,0.5247999,0.0001382524,0.527317,0.02274,GALAXY
1237666275808706677,21.56581,0.3967825,22.3797,0.3400135,20.41661,0.08236748,19.28432,0.04935408,18.76408,0.1076593,7077466568633112576,0.7249525,0.0002428839,0.599629,0.033811,GALAXY
1237666276353114206,24.53792,1.553568,21.26144,0.07206063,19.91373,0.03043995,19.1577,0.02526435,18.74386,0.06178765,5757928363475097600,0.5688787,6.401895E-05,0.440152,0.085389,GALAXY
1237667446733996107,24.28014,1.685906,21.2884,0.0814129,20.07367,0.04671266,19.31487,0.03643994,18.78926,0.0820971,6745375570362914816,0.268041,0.0001441635,0.457335,0.102425,GALAXY
1237667733978481199,23.41661,0.5508332,22.28137,0.1170688,20.8219,0.04863695,19.80297,0.02959649,19.32766,0.06898551,6603479746356729856,0.5872471,0.0001441947,0.558478,0.035415,GALAXY
1237667734526951579,24.66015,1.377657,22.0495,0.125425,20.36575,0.04577718,19.52474,0.03184237,18.99615,0.06714652,6174437114589239296,0.4807339,0.000136122,0.480613,0.024494,GALAXY
1237667735045341449,25.99206,1.165722,21.07975,0.09666906,19.40381,0.03512364,18.55839,0.02391757,18.12285,0.06098618,6726165456951203840,0.49632,0.0001188259,0.472467,0.017511,GALAXY
1237667735583326661,23.21827,0.6949971,23.36164,0.3497429,21.0423,0.06866886,19.77652,0.03275095,19.19409,0.0829855,6731782312353355776,0.6967912,0.0001304084,0.711081,0.038923,GALAXY
1237667735585554771,23.88421,1.233265,22.43347,0.1792529,20.5625,0.0557788,19.59428,0.03438718,19.17015,0.09495078,6742108646371776512,0.4981532,0.0001309374,0.527095,0.031599,GALAXY
1237667736125112634,22.63842,0.3925057,22.57691,0.1903389,20.71872,0.05391488,19.70791,0.03566089,19.20342,0.07684105,6747632317878261760,0.5799403,0.0001310134,0.557618,0.030979,GALAXY
